#,Layer,Category,Data Point,Description,Source,Verified
54,HTML Structure,HTML Forms,forms.allInputs.id,Input id,htmlAnalyzer.js,
55,HTML Structure,HTML Forms,forms.allInputs.autocomplete,Input autocomplete attribute,htmlAnalyzer.js,
56,HTML Structure,HTML Links,links.text,Anchor link text,htmlAnalyzer.js,
57,HTML Structure,HTML Links,links.href,Anchor href,htmlAnalyzer.js,
58,HTML Structure,HTML Links,links.rel,Anchor rel attribute,htmlAnalyzer.js,
59,HTML Structure,HTML Text Zones,textZones.titleText,Title zone text,htmlAnalyzer.js,
60,HTML Structure,HTML Text Zones,textZones.headingText,Heading zone texts,htmlAnalyzer.js,
61,HTML Structure,HTML Text Zones,textZones.buttonText,Button zone texts,htmlAnalyzer.js,
62,HTML Structure,HTML Text Zones,textZones.linkText,Link zone texts,htmlAnalyzer.js,
63,HTML Structure,HTML Text Zones,textZones.labelText,Label zone texts,htmlAnalyzer.js,
64,HTML Structure,HTML Text Zones,textZones.placeholderText,Placeholder zone texts,htmlAnalyzer.js,
65,HTML Structure,HTML Text Zones,textZones.paragraphText,Paragraph zone texts,htmlAnalyzer.js,
66,HTML Structure,HTML Text Zones,textZones.footerText,Footer zone texts,htmlAnalyzer.js,
67,HTML Structure,HTML Text Zones,textZones.imageAltText,Image alt zone texts,htmlAnalyzer.js,
68,HTML Structure,HTML Text Zones,textZones.formNearbyText,Form-nearby zone texts,htmlAnalyzer.js,
69,HTML Structure,HTML Text Zones,textZones.iframeText,Iframe zone texts,htmlAnalyzer.js,
70,HTML Structure,HTML Text Zones,textZones.visibleText,Joined visible text string,htmlAnalyzer.js,
71,HTML Structure,HTML Other,structuredData,Parsed JSON-LD objects,htmlAnalyzer.js,
72,HTML Structure,HTML Other,iframes.src,Outer iframe shell src,htmlAnalyzer.js,
73,HTML Structure,HTML Other,iframes.title,Outer iframe shell title,htmlAnalyzer.js,
